equipo,PTS_por_juego
Indiana Pacers,123
Oklahoma City Thunder,120
Boston Celtics,120
Milwaukee Bucks,118
Atlanta Hawks,118
Los Angeles Lakers,118
Dallas Mavericks,117
Golden State Warriors,117
Sacramento Kings,116
Phoenix Suns,116
Utah Jazz,115
Los Angeles Clippers,115
New Orleans Pelicans,115
Philadelphia 76ers,114
Houston Rockets,114
Denver Nuggets,114
Washington Wizards,113
Minnesota Timberwolves,112
New York Knicks,112
Cleveland Cavaliers,112
Toronto Raptors,112
Chicago Bulls,112
San Antonio Spurs,112
Orlando Magic,110
Brooklyn Nets,110
Miami Heat,110
Detroit Pistons,109
Charlotte Hornets,106
Portland Trail Blazers,106
Memphis Grizzlies,105
